# Mars exosphere neutral density profile used by mars_exosphere.m
# Source MAT file: F:\data\maven\data\sci\supporting_data\H_O_corona_density_profile.mat
# Density unit: cm^-3. Altitude unit: km.
# Columns: alt_H_km nH_cm^-3 alt_O_km nO_cm^-3
6.963989592269e+03 1.018748758869e+03 2.395838707941e+03 9.513813476513e+02
6.707429315207e+03 1.116050139454e+03 2.278072856400e+03 1.026522509781e+03
6.455484405795e+03 1.222644840479e+03 2.162205753420e+03 1.107598404877e+03
6.222316346920e+03 1.339420473243e+03 2.048546398482e+03 1.195077764779e+03
5.984109878584e+03 1.467349425398e+03 1.940861705736e+03 1.289466342297e+03
5.767967572791e+03 1.607496957996e+03 1.835535357488e+03 1.391309835158e+03
5.551310788302e+03 1.761030075890e+03 1.744931816598e+03 1.489828627888e+03
5.338792159581e+03 1.929227245354e+03 1.656565838769e+03 1.595323546477e+03
5.138256090722e+03 2.113489039837e+03 1.561045705128e+03 1.721323983160e+03
4.948957644941e+03 2.315349802501e+03 1.478998241601e+03 1.843211111700e+03
4.755935428706e+03 2.536490422659e+03 1.409166777795e+03 1.958782230108e+03
4.573865839353e+03 2.778752332495e+03 1.341124957730e+03 2.081599769355e+03
4.398766347863e+03 3.044152840621e+03 1.273504004025e+03 2.212118087032e+03
4.230370120745e+03 3.334901930156e+03 1.209292571076e+03 2.350820029390e+03
4.062331113506e+03 3.653420661194e+03 1.145741585554e+03 2.498218717608e+03
3.909741559998e+03 4.002361330912e+03 1.084311536840e+03 2.654859446056e+03
3.751627790773e+03 4.384629559176e+03 1.029639390287e+03 2.821321699593e+03
3.608005712317e+03 4.803408483567e+03 nan nan
3.459502512965e+03 5.262185265280e+03 nan nan
3.327063750635e+03 5.764780126624e+03 nan nan
3.185349110265e+03 6.315378161919e+03 nan nan
3.058820488201e+03 6.918564186662e+03 nan nan
2.932921400184e+03 7.579360915169e+03 nan nan
2.812204237822e+03 8.303270784587e+03 nan nan
2.692419784599e+03 9.096321773539e+03 nan nan
2.583535697519e+03 9.965117596955e+03 nan nan
2.473491268046e+03 1.091689269502e+04 nan nan
2.366361205635e+03 1.195957247420e+04 nan nan
2.265567216588e+03 1.310183930183e+04 nan nan
2.165819938133e+03 1.435320480405e+04 nan nan
2.072015513536e+03 1.572408906880e+04 nan nan
1.979306901220e+03 1.722590741363e+04 nan nan
1.890746369235e+03 1.887116544078e+04 nan nan
1.802094796416e+03 2.067356317100e+04 nan nan
1.718886694085e+03 2.264810912323e+04 nan nan
1.641978196492e+03 2.481124529017e+04 nan nan
1.560309329403e+03 2.718098405035e+04 nan nan
1.488265184663e+03 2.977705815670e+04 nan nan
1.412124937507e+03 3.262108505067e+04 nan nan
1.344906896288e+03 3.573674687013e+04 nan nan
1.277056995176e+03 3.914998764988e+04 nan nan
1.209908593666e+03 4.288922935700e+04 nan nan
1.146290894264e+03 4.698560855978e+04 nan nan
1.088461074195e+03 5.147323570113e+04 nan nan
1.028914777678e+03 5.638947913536e+04 nan nan
