energy(eV)  elastic (x1e-16)  ionization (x1e-16)  others (x1e-16)
102883.827   0.01129   0.00040   0.01857
108451.245   0.01083   0.00039   0.01787
114319.936   0.01039   0.00037   0.01720
120506.203   0.00996   0.00036   0.01656
127027.231   0.00956   0.00034   0.01594
133901.136   0.00917   0.00033   0.01535
141147.013   0.00880   0.00031   0.01478
148784.990   0.00844   0.00030   0.01423
156836.286   0.00810   0.00029   0.01371
165323.267   0.00777   0.00028   0.01321
174269.510   0.00745   0.00026   0.01272
183699.866   0.00715   0.00025   0.01226
193640.533   0.00686   0.00024   0.01181
204119.125   0.00658   0.00023   0.01139
215164.753   0.00631   0.00022   0.01098
226808.099   0.00605   0.00021   0.01058
239081.509   0.00581   0.00020   0.01020
252019.078   0.00557   0.00020   0.00984
265656.745   0.00534   0.00019   0.00949
280032.397   0.00513   0.00018   0.00915
295185.967   0.00492   0.00017   0.00883
311159.551   0.00472   0.00017   0.00852
327997.525   0.00453   0.00016   0.00822
345746.662   0.00434   0.00015   0.00793
364456.270   0.00416   0.00015   0.00766
384178.322   0.00399   0.00014   0.00739
404967.607   0.00383   0.00013   0.00713
426881.875   0.00368   0.00013   0.00689
449982.003   0.00353   0.00012   0.00665
474332.164   0.00338   0.00012   0.00642
500000.000   0.00325   0.00011   0.00620
